word,examples,word_audio,word_search,word_translation,example_translation
"die Arbeitserlaubnis, -se",['Haben Sie eine Arbeitserlaubnis?'],die Arbeitserlaubnis,Arbeitserlaubnis,['Разрешение за работа'],['Имате ли разрешително за работа?']
arbeitslos,['Wie lange sind Sie schon arbeitslos?'],arbeitslos,arbeitslos,['безработни'],['Откога сте безработен?']
die Arbeitslosigkeit,['Die Arbeitslosigkeit ist gesunken.'],die Arbeitslosigkeit,Arbeitslosigkeit,['Безработица'],['Безработицата е намаляла.']
"der Arbeitsplatz, ¨-e",['In der Industrie gibt es immer weniger Arbeitsplätze.'],der Arbeitsplatz,Arbeitsplatz,['Работно място'],['Работните места в промишлеността стават все по-малко и по-малко.']
"die Arbeitsstelle, -n",['Meine Frau hat eine neue Arbeitsstelle gefunden.'],die Arbeitsstelle,Arbeitsstelle,['Работно място'],['Жена ми си намери нова работа.']
"der Architekt, -en die Architektin, -nen",['Dieses Haus hat eine berühmte Architektin gebaut.'],"der Architekt, die Architektin",Architekt,['Архитект'],['Тази къща е построена от известен архитект.']
"(sich) ärgern, ärgert, ärgerte, hat geärgert","['Ärgern Sie sich nicht.', 'Mein Bruder hat mich schon als Kind immer geärgert.']",sich ärgern,ärgern,"['ядосвам (се)', 'дразня (се)']","['Не се ядосвайте.', 'Брат ми ме дразнеше като дете.']"
der Ärger,['Ich hatte heute Ärger im Büro. Ich habe mich mit einem Kollegen gestritten.'],der Ärger,Ärger,['Проблеми'],['Днес имах проблеми в офиса. Имах спор с колега.']
ärgerlich,['Der Zug hat schon wieder Verspätung. Das ist wirklich ärgerlich.'],ärgerlich,ärgerlich,['неприятен'],['Влакът отново закъснява. Това е наистина неприятно.']
arm,"['Die Regierung hilft armen Nachbarländern.', 'Ich hätte gerne 200 g fettarmen Käse.']",arm,arm,['беден'],"['Правителството помага на бедните съседни държави.', 'Искам 200 г нискомаслено сирене.']"
"der Arm, -e",['Mein Freund hat sich den Arm gebrochen.'],der Arm,Arm,['Ръка'],['Приятелят ми си счупи ръката.']
"die Art, -en","['Im Zoo haben sie 34 verschiedene Arten von Vögeln.', 'Seine Art gefällt mir nicht.', 'Man kann auf unterschiedliche Art und Weise ein Fest feiern.']",die Art,Art,['Любезен'],"['В зоологическата градина има 34 различни вида птици.', 'Не харесвам маниера му.', 'Можете да отпразнувате парти по различни начини.']"
"der Artikel, -","['Ich habe einen interessanten Artikel gelesen.', 'Im Deutschen gibt es drei Artikel: der, die, das.']",der Artikel,Artikel,['Статия'],"['Прочетох една интересна статия.', 'В немския език има три члена: der, die, das.']"
"der Arzt, ¨-e die Ärztin, -nen","['Ich muss heute zum Arzt.', 'Wann warst du beim Zahnarzt?']","der Arzt, die Ärztin",Arzt,['Доктор'],"['Днес трябва да отида на лекар.', 'Кога отидохте на зъболекар?']"
"das Asyl, -e",['Die Menschen sind auf der Flucht und bitten um Asyl.'],das Asyl,Asyl,['Убежище'],['Хората бягат и искат убежище.']
"atmen, atmet, atmete, hat geatmet",['Er hat eine Erkältung und kann nicht durch die Nase atmen.'],atmen,atmen,['дишане'],['Има настинка и не може да диша през носа си.']
der Atem,['Bitte den Atem anhalten.'],der Atem,Atem,['Дишане'],['Задръжте дъха си.']
auch,"['Ich muss leider gehen. – Ich auch.', 'Ich arbeite die ganze Woche und muss auch am Wochenende arbeiten.', 'Wir fahren auf jeden Fall, auch wenn es regnet.', 'Der Zug ist gerade eben abgefahren. Warum kommst du auch so spät!']",auch,auch,"['също', 'дори']","['За съжаление трябва да си ходя. - Аз също.', 'Работя цяла седмица и трябва да работя и през почивните дни.', 'Определено ще отидем, дори и да вали.', 'Влакът току-що е потеглил от гарата. Защо закъснявате толкова!']"
auf,"['Deine Brille liegt auf dem Schreibtisch.', 'Die Kinder spielen unten auf der Straße.', 'Meine Eltern leben auf dem Land.', 'Gestern waren wir auf einer Party.', 'Auf unsere Anzeige in der Abendzeitung hat sich noch niemand gemeldet.', 'Wie heißt das auf Deutsch?', 'Meine Tochter kommt nächstes Jahr aufs Gymnasium. (D) (A, CH: ins)', 'Im Mai war ich auf Urlaub. (A) (D: in)', 'Ich bin schon seit zwei Stunden auf.', 'Komm herein, die Tür ist auf. (D)']",auf,auf,['на'],"['Очилата ви са на бюрото.', 'Децата играят на улицата долу.', 'Родителите ми живеят в провинцията.', 'Вчера бяхме на парти.', 'Все още никой не се е отзовал на обявата ни във вечерния вестник.', 'Как се нарича на немски език?', 'Дъщеря ми ще започне да учи в гимназия следващата година. (D) (A, CH: ins)', 'Бях на почивка през май. (A) (D: в)', 'Не съм спал от два часа.', 'Влезте, вратата е отворена. (D)']"
"der Aufenthalt, -e","['Der Zug hat in München nur 20 Minuten Aufenthalt.', 'Wir wünschen Ihnen einen angenehmen Aufenthalt.']",der Aufenthalt,Aufenthalt,['Останете на'],"['Влакът има само 20-минутна спирка в Мюнхен.', 'Пожелаваме ви приятен престой.']"
"auffallen, fällt auf, fiel auf, ist aufgefallen","['Mir ist aufgefallen, dass Harriett ganz blass ist.']",auffallen,auffallen,['да се отличавате'],"['Забелязах, че Хариет е много бледа.']"
"auffordern, fordert auf, forderte auf, hat aufgefordert","['Sie forderte mich auf, meine Meinung zu sagen.', 'Er fordert sie zum Tanz auf.']",auffordern,auffordern,['подкана'],"['Тя ме помоли да изкажа мнението си.', 'Той ги кани да танцуват.']"
"die Aufforderung, -en","['Sie erhalten eine Aufforderung, den Betrag bis Juni zu zahlen.']",die Aufforderung,Aufforderung,['Заявка'],['Ще получите искане да платите сумата до юни.']
"aufführen, führt auf, führte auf, hat aufgeführt",['Die Kinder führen zu Weihnachten ein Theaterstück auf.'],aufführen,aufführen,['изпълнява'],['Децата поставят пиеса за Коледа.']
"die Aufgabe, -n","['Hast du deine Hausaufgaben für die Schule schon gemacht?', 'Das ist nicht meine Aufgabe.']",die Aufgabe,Aufgabe,['Задача'],"['Написахте ли вече домашните си за училище?', 'Това не е моя работа.']"
"aufgeben, gibt auf, gab auf, hat aufgegeben","['Ich habe auf der Post ein Paket aufgegeben.', 'Man darf nie aufgeben. Es gibt immer eine Hoffnung.']",aufgeben,aufgeben,['да се откажеш'],"['Изпратих пратка в пощенската служба.', 'Никога не трябва да се отказвате. Винаги има надежда.']"
"aufhalten, hält auf, hielt auf, hat aufgehalten","['Wo hält er sich gerade auf? – In München.', 'Darf ich Ihnen die Tür aufhalten?', 'Entschuldigen Sie die Verspätung, ich wurde aufgehalten.']",aufhalten,aufhalten,['спрете'],"['Къде е в момента? - В Мюнхен.', 'Мога ли да ви задържа вратата?', 'Извинявам се за закъснението, бях задържан.']"
"aufheben, hebt auf, hob auf, hat aufgehoben","['Lassen Sie die Papiere nur auf dem Boden liegen, ich hebe sie schon auf.', 'Die Quittung müssen Sie gut aufheben.']",aufheben,aufheben,['отмяна на'],"['Просто оставете документите на пода, аз ще ги взема.', 'Трябва да съхранявате разписката на сигурно място.']"
"aufhören, hört auf, hörte auf, hat aufgehört","['Es hört nicht auf zu schneien.', 'Wann hört ihr mit der Arbeit auf?', 'Hier hört die Hauptstraße auf.']",aufhören,aufhören,['спрете'],"['Снегът не спира да вали.', 'Кога ще спрете да работите?', 'Тук свършва главният път.']"
"aufladen, lädt auf, lud auf, hat aufgeladen",['Ich muss mein Telefon aufladen. Die Batterie ist leer.'],aufladen,aufladen,['зареждане'],['Трябва да заредя телефона си. Батерията е изтощена.']
"auflösen, löst auf, löste auf, hat aufgelöst",['Die Tablette bitte in Wasser auflösen.'],auflösen,auflösen,['разтваряне'],"['Моля, разтворете таблетката във вода.']"
aufmerksam,"['Die Schülerin hörte aufmerksam zu.', 'Ich mache Sie darauf aufmerksam, dass wir in einer halben Stunde schließen.']",aufmerksam,aufmerksam,['внимателен'],"['Ученикът слушаше внимателно.', 'Бих искал да ви обърна внимание на факта, че ще приключим след половин час.']"
